Chain,Size,MAE,MAPE,Len_forecast
ridge,10,0.011518576470216068,1.385969802368846,10
ridge,50,0.011614538553715192,1.3972327585506987,10
ridge,100,0.013306714927807573,1.6012729439999132,10
ridge,150,0.014619343616921266,1.7595411364578195,10
ridge,200,0.0152109641569249,1.830984292600052,10
ridge,400,0.019542524308814434,2.353509314554442,10
ridge,500,0.014870426096726374,1.7897702333562353,10
ridge,700,0.015485345702752607,1.863637700454899,10
3-node,10,0.006299327131538824,0.7569806788354843,10
3-node,50,0.005504943309460442,0.6612366744646252,10
3-node,100,0.006560238627394366,0.789165795518468,10
3-node,150,0.010124885704676557,1.2195769221937105,10
3-node,200,0.009399276296512393,1.130619090192787,10
3-node,400,0.010178280073931045,1.224787317814687,10
3-node,500,0.009756564906748099,1.174202155901497,10
3-node,700,0.006850015375993534,0.8236655781794996,10
5-node,10,0.010387109837702213,1.249290126679997,10
5-node,50,0.006357578509709272,0.7642322194410663,10
5-node,100,0.009494232863231278,1.1403169361440288,10
5-node,150,0.007086657575259325,0.8514231412504961,10
5-node,200,0.009742521711284757,1.1715171027702573,10
5-node,400,0.0205501751833435,2.47492738230893,10
5-node,500,0.01946068717464965,2.3439796890699935,10
5-node,700,0.023505708043478547,2.83145552337595,10
ridge,10,0.027451841890655828,3.2985115879810545,50
ridge,50,0.02701971360187587,3.246388979321455,50
ridge,100,0.030996328531830975,3.7253845751108634,50
ridge,150,0.04227488935869318,5.090066141819619,50
ridge,200,0.04223548851587762,5.084545071642992,50
ridge,400,0.08663534194859121,10.456532454733876,50
ridge,500,0.05618579917760356,6.777035173578466,50
ridge,700,0.04695125870994403,5.661954891728183,50
3-node,10,0.01798211811148132,2.1710826923834734,50
3-node,50,0.027086711781766165,3.277032605269271,50
3-node,100,0.07056230224274568,8.554556721338201,50
3-node,150,0.04158749664134278,4.984978543609836,50
3-node,200,0.06745612851280018,8.154936093729074,50
3-node,400,0.06647049478957678,8.03815905212729,50
3-node,500,0.05809159281275666,7.003481336623593,50
3-node,700,0.04894131977173253,5.913781097911992,50
5-node,10,0.020192022952524334,2.4190148126555693,50
5-node,50,0.01704624848332783,2.040923823167679,50
5-node,100,0.0485932055114991,5.889621486663009,50
5-node,150,0.05720437021143669,6.931462464755332,50
5-node,200,0.018343279362228,2.2157095289575,50
5-node,400,0.10695370908534618,12.912979051057597,50
5-node,500,0.12244990964003369,14.789443296765262,50
