Chain,Size,MAE,MAPE,Len_forecast,Time,Depth
"['svr', 'lasso', 'ridge', 'linear', 'linear']",10,0.009354169050622385,1.125212566127894,10,78.49108860000001,3
"['svr', 'linear']",50,0.009163528662279352,1.101733934649523,10,73.2033833,2
"['svr', 'linear']",100,0.010900659234702913,1.3111814719994428,10,169.4429099,2
"['svr', 'linear', 'linear', 'lasso', 'linear']",150,0.011232527001187653,1.3514414966055388,10,123.6282531,3
"['svr', 'svr', 'linear', 'ridge', 'linear', 'linear', 'linear', 'ridge']",200,0.013062315521316325,1.571694233165983,10,151.95950890000006,4
"['svr', 'svr', 'linear', 'ridge', 'linear', 'linear', 'linear', 'linear']",400,0.018789988053212768,2.261916745389808,10,280.4049765,4
"['svr', 'linear', 'linear', 'ridge']",500,0.013797974943575809,1.6600897692323635,10,306.7686457000001,3
['linear'],700,0.013323863368511001,1.603110597872862,10,271.6259868999998,1
"['linear', 'linear']",10,0.025162332804732016,3.0229054842287804,50,135.9401011,2
"['linear', 'linear', 'linear', 'ridge', 'linear', 'ridge']",50,0.026183686315087634,3.145757884701747,50,107.51042490000009,4
"['ridge', 'linear', 'ridge', 'linear', 'lasso']",100,0.04560279401092341,5.471185482448648,50,110.40622289999988,3
"['linear', 'ridge']",150,0.04010132680916036,4.828669436376385,50,84.39032270000007,2
['linear'],200,0.03547857882195365,4.270912086287148,50,105.19272159999991,1
"['ridge', 'linear']",400,0.07653415666535301,9.240047540479999,50,213.64921119999985,2
"['svr', 'svr', 'dtreg', 'linear', 'ridge', 'dtreg', 'ridge']",500,0.07745934234743174,9.362375301867981,50,277.4393008000002,4
['linear'],700,0.04260903558195086,5.139834079912703,50,298.57828930000005,1
"['svr', 'ridge', 'linear', 'ridge']",10,0.054106425056013624,6.748312232604178,100,133.75965719999976,3
"['svr', 'linear', 'ridge', 'linear', 'ridge']",50,0.05435250186152239,6.784844672167495,100,93.64383280000038,3
"['knnreg', 'lasso', 'linear', 'lasso']",100,0.05807599999999999,7.316047686089486,100,136.7066565,3
"['svr', 'ridge']",150,0.05893754675289403,7.293053650703847,100,172.0104292000001,2
"['svr', 'linear', 'linear', 'linear']",200,0.05044727672927163,6.25878015422747,100,195.3036430000002,4
"['knnreg', 'linear', 'dtreg', 'linear']",400,0.11857700000000002,14.554061373632877,100,246.01918209999985,3
"['lasso', 'dtreg', 'dtreg', 'knnreg']",500,0.0853563824604142,10.512969920987125,100,287.6249004000001,3
