Chain,Iteration,MAE before tuning,MAE after tuning,Time
"['lasso', 'knnreg', 'ridge']",0,1.382210363616889,1.1321924943519694,4.349006599999939
"['lasso', 'knnreg', 'ridge']",1,1.382210363616889,1.1329131072944436,4.371143000000302
"['lasso', 'knnreg', 'ridge']",2,1.382210363616889,1.1309312019665008,4.702069200000096
"['lasso', 'knnreg', 'ridge']",3,1.382210363616889,1.1349432866735467,4.474232999999913
"['lasso', 'knnreg', 'ridge']",4,1.382210363616889,1.131994744076809,4.1721880999998575
"['lasso', 'knnreg', 'ridge']",5,1.382210363616889,1.1266706342839836,3.9131302999999207
"['lasso', 'knnreg', 'ridge']",6,1.382210363616889,1.1299214607592902,4.578664600000138
"['lasso', 'knnreg', 'ridge']",7,1.382210363616889,1.1307903354383564,4.623085400000036
"['lasso', 'knnreg', 'ridge']",8,1.382210363616889,1.1322709733445924,4.400298199999725
"['lasso', 'knnreg', 'ridge']",9,1.382210363616889,1.1312639766470305,4.722425100000237
"['lasso', 'knnreg', 'ridge']",10,1.382210363616889,1.1303033371030828,4.425065599999925
"['lasso', 'knnreg', 'ridge']",11,1.382210363616889,1.1287931332047598,4.53731099999959
"['lasso', 'knnreg', 'ridge']",12,1.382210363616889,1.1296558536200345,4.127800000000207
"['lasso', 'knnreg', 'ridge']",13,1.382210363616889,1.13115323461254,4.3667765000000145
"['lasso', 'knnreg', 'ridge']",14,1.382210363616889,1.12815094673492,4.081241799999589
"['lasso', 'knnreg', 'ridge']",15,1.382210363616889,1.1302920319965135,4.46835800000008
"['lasso', 'knnreg', 'ridge']",16,1.382210363616889,1.1373028823522164,4.174796199999946
"['lasso', 'knnreg', 'ridge']",17,1.382210363616889,1.1298830967042048,4.278048899999703
"['lasso', 'knnreg', 'ridge']",18,1.382210363616889,1.1275917966950766,4.428949900000134
"['lasso', 'knnreg', 'ridge']",19,1.382210363616889,1.1298551175596558,4.489871700000094
"['lasso', 'knnreg', 'ridge']",20,1.382210363616889,1.1277250770640292,4.105945599999814
"['lasso', 'knnreg', 'ridge']",21,1.382210363616889,1.1351471728348919,4.389624599999934
"['lasso', 'knnreg', 'ridge']",22,1.382210363616889,1.1382925235696588,4.671422800000073
"['lasso', 'knnreg', 'ridge']",23,1.382210363616889,1.1315442306114636,4.377655100000084
"['lasso', 'knnreg', 'ridge']",24,1.382210363616889,1.1315758137804903,4.7797043000000485
"['lasso', 'knnreg', 'ridge']",25,1.382210363616889,1.1328546832981088,3.89402790000031
"['lasso', 'knnreg', 'ridge']",26,1.382210363616889,1.1298242291131941,4.588153499999862
"['lasso', 'knnreg', 'ridge']",27,1.382210363616889,1.1331508515539277,4.220362099999875
"['lasso', 'knnreg', 'ridge']",28,1.382210363616889,1.1351439308690396,4.3087852000003295
"['lasso', 'knnreg', 'ridge']",29,1.382210363616889,1.1362700948302273,4.367432999999892
"['lasso', 'knnreg', 'ridge']",30,1.382210363616889,1.1302488602841816,4.662777399999868
"['lasso', 'knnreg', 'ridge']",31,1.382210363616889,1.1313805266889416,4.458950100000038
"['lasso', 'knnreg', 'ridge']",32,1.382210363616889,1.1278102300826165,4.6547270000000935
"['lasso', 'knnreg', 'ridge']",33,1.382210363616889,1.1332354976581995,4.700097899999946
"['lasso', 'knnreg', 'ridge']",34,1.382210363616889,1.1333603417961782,4.178078700000242
"['lasso', 'knnreg', 'ridge']",35,1.382210363616889,1.130090589395749,4.110395199999857
"['lasso', 'knnreg', 'ridge']",36,1.382210363616889,1.1292597208429638,4.020520199999737
"['lasso', 'knnreg', 'ridge']",37,1.382210363616889,1.1295352445534321,3.9972044000001006
"['lasso', 'knnreg', 'ridge']",38,1.382210363616889,1.1354366661987951,4.584869700000127
"['lasso', 'knnreg', 'ridge']",39,1.382210363616889,1.1334610769642879,4.641333300000042
"['lasso', 'knnreg', 'ridge']",40,1.382210363616889,1.134580549420019,4.316677599999821
"['lasso', 'knnreg', 'ridge']",41,1.382210363616889,1.131980428765442,4.06926999999996
"['lasso', 'knnreg', 'ridge']",42,1.382210363616889,1.1349280147484562,4.198408499999914
"['lasso', 'knnreg', 'ridge']",43,1.382210363616889,1.1394190829939963,4.086708899999849
"['lasso', 'knnreg', 'ridge']",44,1.382210363616889,1.130857339126418,4.3012879999996585
"['lasso', 'knnreg', 'ridge']",45,1.382210363616889,1.1304827267369268,4.527131499999996
"['lasso', 'knnreg', 'ridge']",46,1.382210363616889,1.1295972332717514,4.2727177000001575
"['lasso', 'knnreg', 'ridge']",47,1.382210363616889,1.1285373771344283,4.214074999999866
"['lasso', 'knnreg', 'ridge']",48,1.382210363616889,1.142729608655591,3.9646546999997554
"['lasso', 'knnreg', 'ridge']",49,1.382210363616889,1.1368971761950708,4.265102300000308
"['lasso', 'knnreg', 'ridge']",50,1.382210363616889,1.1309260760292337,4.478380200000174
"['lasso', 'knnreg', 'ridge']",51,1.382210363616889,1.13036152859438,4.478582499999902
"['lasso', 'knnreg', 'ridge']",52,1.382210363616889,1.1316324997573997,4.067901299999903
"['lasso', 'knnreg', 'ridge']",53,1.382210363616889,1.1314499362519752,4.555515699999887
"['lasso', 'knnreg', 'ridge']",54,1.382210363616889,1.1283581198732486,4.320919299999787
"['lasso', 'knnreg', 'ridge']",55,1.382210363616889,1.1374027696479305,4.505875500000002
"['lasso', 'knnreg', 'ridge']",56,1.382210363616889,1.1294208761254088,4.15174769999976
"['lasso', 'knnreg', 'ridge']",57,1.382210363616889,1.1310732820729574,3.9485906999998406
"['lasso', 'knnreg', 'ridge']",58,1.382210363616889,1.1359910929574026,4.362971100000323
"['lasso', 'knnreg', 'ridge']",59,1.382210363616889,1.1294652457064667,4.692159400000037
"['lasso', 'knnreg', 'ridge']",60,1.382210363616889,1.1312014520585738,4.120650300000307
"['lasso', 'knnreg', 'ridge']",61,1.382210363616889,1.1299431068452874,4.460514800000055
"['lasso', 'knnreg', 'ridge']",62,1.382210363616889,1.1404405461938278,4.286550700000134
"['lasso', 'knnreg', 'ridge']",63,1.382210363616889,1.1335259585904822,4.598630099999809
"['lasso', 'knnreg', 'ridge']",64,1.382210363616889,1.1305340075006791,4.5480539000000135
"['lasso', 'knnreg', 'ridge']",65,1.382210363616889,1.1394813865401736,4.001229399999829
"['lasso', 'knnreg', 'ridge']",66,1.382210363616889,1.1337738453814503,4.607274899999993
"['lasso', 'knnreg', 'ridge']",67,1.382210363616889,1.1378158869841186,4.03318309999986
"['lasso', 'knnreg', 'ridge']",68,1.382210363616889,1.1338252510386118,4.2859754999999495
"['lasso', 'knnreg', 'ridge']",69,1.382210363616889,1.1287621126245448,4.835413599999811
"['lasso', 'knnreg', 'ridge']",70,1.382210363616889,1.1299856356900417,4.6305796000001465
"['lasso', 'knnreg', 'ridge']",71,1.382210363616889,1.136196516378924,4.204415000000154
"['lasso', 'knnreg', 'ridge']",72,1.382210363616889,1.136142578516506,4.557947200000399
"['lasso', 'knnreg', 'ridge']",73,1.382210363616889,1.1375103701602727,4.2045538000002125
"['lasso', 'knnreg', 'ridge']",74,1.382210363616889,1.1369928670006804,3.972720300000219
"['lasso', 'knnreg', 'ridge']",75,1.382210363616889,1.1315850506676546,4.188301700000011
"['lasso', 'knnreg', 'ridge']",76,1.382210363616889,1.1290645219496565,4.457042499999716
"['lasso', 'knnreg', 'ridge']",77,1.382210363616889,1.1355004428091862,4.11019639999995
"['lasso', 'knnreg', 'ridge']",78,1.382210363616889,1.1279763784246353,4.554406799999924
"['lasso', 'knnreg', 'ridge']",79,1.382210363616889,1.1289272066920062,4.438099500000135
"['lasso', 'knnreg', 'ridge']",80,1.382210363616889,1.1341568191044573,4.605379100000391
"['lasso', 'knnreg', 'ridge']",81,1.382210363616889,1.1340143532672273,4.660530999999992
"['lasso', 'knnreg', 'ridge']",82,1.382210363616889,1.1322050806896968,4.443495699999858
"['lasso', 'knnreg', 'ridge']",83,1.382210363616889,1.1309480037398179,4.3809322000001885
"['lasso', 'knnreg', 'ridge']",84,1.382210363616889,1.1318686666131974,4.447174200000063
"['lasso', 'knnreg', 'ridge']",85,1.382210363616889,1.1317026587668622,4.677388900000096
"['lasso', 'knnreg', 'ridge']",86,1.382210363616889,1.1304732036107386,4.564148500000101
"['lasso', 'knnreg', 'ridge']",87,1.382210363616889,1.1277406933267078,4.631589900000108
"['lasso', 'knnreg', 'ridge']",88,1.382210363616889,1.131225585724909,4.286846999999852
"['lasso', 'knnreg', 'ridge']",89,1.382210363616889,1.1282904666728917,4.361230599999999
"['lasso', 'knnreg', 'ridge']",90,1.382210363616889,1.136040746659648,3.986936700000115
"['lasso', 'knnreg', 'ridge']",91,1.382210363616889,1.1320609956607255,4.53563639999993
"['lasso', 'knnreg', 'ridge']",92,1.382210363616889,1.1290187077949094,4.285829599999943
"['lasso', 'knnreg', 'ridge']",93,1.382210363616889,1.1288007781063143,4.648937200000091
"['lasso', 'knnreg', 'ridge']",94,1.382210363616889,1.1322537118940976,4.384403300000031
"['lasso', 'knnreg', 'ridge']",95,1.382210363616889,1.1296752744572436,4.262755800000377
"['lasso', 'knnreg', 'ridge']",96,1.382210363616889,1.1278753538288218,4.173181000000113
"['lasso', 'knnreg', 'ridge']",97,1.382210363616889,1.1309458227336067,4.312427200000002
"['lasso', 'knnreg', 'ridge']",98,1.382210363616889,1.1326142871284273,4.313646200000221
"['lasso', 'knnreg', 'ridge']",99,1.382210363616889,1.1323903174326535,4.222382200000084
"['xgbreg', 'svr', 'ridge']",0,1.2231944677952145,1.1445752337538673,21.97554850000006
"['xgbreg', 'svr', 'ridge']",1,1.2362843531933794,1.160879622817088,18.06461010000021
"['xgbreg', 'svr', 'ridge']",2,1.2298210944315153,1.146335361657253,19.327483999999913
"['xgbreg', 'svr', 'ridge']",3,1.2439836120994932,1.1584986794413394,19.004685900000368
"['xgbreg', 'svr', 'ridge']",4,1.2271720898482803,1.1792226593614883,19.617089399999713
"['xgbreg', 'svr', 'ridge']",5,1.2210514162908999,1.1597391575974012,18.276920899999823
"['xgbreg', 'svr', 'ridge']",6,1.234790396435162,1.1584052023477853,15.605353899999955
"['xgbreg', 'svr', 'ridge']",7,1.2145206352780489,1.164231058448408,16.15169240000023
"['xgbreg', 'svr', 'ridge']",8,1.2294741204673691,1.146825850044994,17.714800000000196
"['xgbreg', 'svr', 'ridge']",9,1.224248603572948,1.161086263878924,16.25997170000028
"['xgbreg', 'svr', 'ridge']",10,1.2184403720094108,1.1510310829423562,15.62431129999959
"['xgbreg', 'svr', 'ridge']",11,1.2005184920395833,1.1511078495834652,19.565499400000135
"['xgbreg', 'svr', 'ridge']",12,1.2347573522490438,1.1500756310480464,15.593945099999928
"['xgbreg', 'svr', 'ridge']",13,1.2155048026727489,1.1648658745438345,16.518415700000332
"['xgbreg', 'svr', 'ridge']",14,1.217859093347782,1.154086136485317,16.827884899999844
"['xgbreg', 'svr', 'ridge']",15,1.2563785790683484,1.1913542778618247,19.399989600000026
"['xgbreg', 'svr', 'ridge']",16,1.2157425603176188,1.134300359649366,17.933894599999803
"['xgbreg', 'svr', 'ridge']",17,1.2027790696069889,1.1485193389540465,15.583275500000127
"['xgbreg', 'svr', 'ridge']",18,1.2439467420886186,1.1655857571884507,16.396819199999754
"['xgbreg', 'svr', 'ridge']",19,1.2230297534944272,1.1544569367095345,14.278145900000254
"['xgbreg', 'svr', 'ridge']",20,1.238085977410196,1.1584892193569087,17.9826479999997
"['xgbreg', 'svr', 'ridge']",21,1.2152092622339048,1.1429617557396459,16.24481280000009
"['xgbreg', 'svr', 'ridge']",22,1.2177475870973975,1.161004510615021,15.24838630000022
