,Date,T
0,2017-07-27 20:00:00,11.2
1,2017-07-27 21:00:00,11.5
2,2017-07-27 23:00:00,13.1
3,2017-07-28 00:00:00,13.2
4,2017-07-28 01:00:00,13.8
5,2017-07-28 02:00:00,12.4
6,2017-07-28 03:00:00,12.5
7,2017-07-28 04:00:00,12.4
8,2017-07-28 05:00:00,11.5
9,2017-07-28 06:00:00,10.5
10,2017-07-28 07:00:00,9.4
11,2017-07-28 08:00:00,9.3
12,2017-07-28 09:00:00,9.0
13,2017-07-28 10:00:00,9.1
14,2017-07-28 11:00:00,8.9
15,2017-07-28 12:00:00,8.9
16,2017-07-28 13:00:00,9.2
17,2017-07-28 14:00:00,9.1
18,2017-07-28 15:00:00,9.2
19,2017-07-28 16:00:00,9.5
20,2017-07-28 17:00:00,10.4
21,2017-07-28 18:00:00,11.2
22,2017-07-28 22:00:00,14.4
23,2017-07-28 23:00:00,13.8
24,2017-07-29 02:00:00,12.8
25,2017-07-29 03:00:00,12.8
26,2017-07-29 04:00:00,12.2
27,2017-07-29 05:00:00,11.3
28,2017-07-29 06:00:00,10.5
29,2017-07-29 07:00:00,9.4
30,2017-07-29 08:00:00,9.1
31,2017-07-29 09:00:00,9.2
32,2017-07-29 10:00:00,9.3
33,2017-07-29 11:00:00,9.0
34,2017-07-29 12:00:00,8.6
35,2017-07-29 13:00:00,8.3
36,2017-07-29 14:00:00,7.8
37,2017-07-29 15:00:00,8.5
38,2017-07-29 16:00:00,9.9
39,2017-07-29 17:00:00,10.2
40,2017-07-29 18:00:00,11.5
41,2017-07-29 19:00:00,12.9
42,2017-07-29 20:00:00,14.1
43,2017-07-29 21:00:00,14.8
44,2017-07-29 22:00:00,15.7
45,2017-07-29 23:00:00,16.6
46,2017-07-30 00:00:00,16.7
47,2017-07-30 01:00:00,16.8
48,2017-07-30 02:00:00,17.3
49,2017-07-30 03:00:00,17.6
50,2017-07-30 04:00:00,17.0
51,2017-07-30 05:00:00,16.0
52,2017-07-30 06:00:00,15.2
53,2017-07-30 07:00:00,12.0
54,2017-07-30 08:00:00,10.5
55,2017-07-30 09:00:00,9.0
56,2017-07-30 10:00:00,8.5
57,2017-07-30 11:00:00,9.3
58,2017-07-30 12:00:00,9.3
59,2017-07-30 13:00:00,9.1
60,2017-07-30 14:00:00,9.0
61,2017-07-30 15:00:00,9.8
62,2017-07-30 16:00:00,10.7
63,2017-07-30 17:00:00,13.7
64,2017-07-30 18:00:00,15.5
65,2017-07-30 19:00:00,17.2
66,2017-07-30 20:00:00,17.6
67,2017-07-30 21:00:00,18.3
68,2017-07-30 22:00:00,17.9
69,2017-07-30 23:00:00,19.3
70,2017-07-31 00:00:00,18.2
71,2017-07-31 01:00:00,18.9
72,2017-07-31 02:00:00,18.2
73,2017-07-31 03:00:00,17.8
74,2017-07-31 04:00:00,16.0
75,2017-07-31 05:00:00,16.0
76,2017-07-31 06:00:00,12.6
77,2017-07-31 07:00:00,9.5
78,2017-07-31 08:00:00,8.4
79,2017-07-31 09:00:00,7.5
80,2017-07-31 10:00:00,7.4
81,2017-07-31 11:00:00,7.1
82,2017-07-31 12:00:00,6.4
83,2017-07-31 13:00:00,7.0
84,2017-07-31 14:00:00,7.6
85,2017-07-31 15:00:00,8.3
86,2017-07-31 16:00:00,9.8
87,2017-07-31 17:00:00,12.1
88,2017-07-31 18:00:00,14.0
89,2017-07-31 19:00:00,15.1
90,2017-07-31 20:00:00,16.7
91,2017-07-31 21:00:00,15.7
92,2017-07-31 22:00:00,17.0
93,2017-07-31 23:00:00,15.3
94,2017-08-01 00:00:00,15.7
95,2017-08-01 01:00:00,14.4
96,2017-08-01 02:00:00,12.9
97,2017-08-01 03:00:00,13.5
98,2017-08-01 04:00:00,13.7
99,2017-08-01 05:00:00,11.9
100,2017-08-01 06:00:00,11.9
101,2017-08-01 07:00:00,10.8
102,2017-08-01 08:00:00,11.1
103,2017-08-01 09:00:00,10.8
104,2017-08-01 10:00:00,11.0
105,2017-08-01 11:00:00,10.6
106,2017-08-01 12:00:00,10.0
107,2017-08-01 14:00:00,10.6
108,2017-08-01 15:00:00,10.5
109,2017-08-01 16:00:00,10.5
110,2017-08-01 17:00:00,13.4
111,2017-08-01 18:00:00,13.2
112,2017-08-01 19:00:00,12.3
113,2017-08-01 20:00:00,15.5
114,2017-08-01 21:00:00,17.5
115,2017-08-01 22:00:00,17.0
116,2017-08-01 23:00:00,17.7
117,2017-08-02 00:00:00,16.7
118,2017-08-02 01:00:00,16.4
119,2017-08-02 02:00:00,14.6
120,2017-08-02 03:00:00,14.0
121,2017-08-02 04:00:00,12.3
122,2017-08-02 05:00:00,11.6
123,2017-08-02 06:00:00,11.3
124,2017-08-02 07:00:00,11.4
125,2017-08-02 08:00:00,11.0
126,2017-08-02 09:00:00,11.2
127,2017-08-02 10:00:00,11.3
128,2017-08-02 11:00:00,11.3
129,2017-08-02 12:00:00,11.3
130,2017-08-02 13:00:00,10.9
131,2017-08-02 14:00:00,10.5
132,2017-08-02 15:00:00,10.6
133,2017-08-02 16:00:00,11.5
134,2017-08-02 17:00:00,12.3
135,2017-08-02 18:00:00,12.5
136,2017-08-02 19:00:00,13.0
137,2017-08-02 20:00:00,13.5
138,2017-08-02 21:00:00,13.6
139,2017-08-02 22:00:00,14.0
140,2017-08-02 23:00:00,14.3
141,2017-08-03 00:00:00,14.5
142,2017-08-03 01:00:00,14.4
143,2017-08-03 02:00:00,14.2
144,2017-08-03 03:00:00,14.8
145,2017-08-03 04:00:00,14.6
146,2017-08-03 05:00:00,12.0
147,2017-08-03 06:00:00,12.0
148,2017-08-03 07:00:00,12.1
149,2017-08-03 08:00:00,11.5
150,2017-08-03 09:00:00,11.6
151,2017-08-03 10:00:00,11.3
152,2017-08-03 11:00:00,11.1
153,2017-08-03 12:00:00,10.5
154,2017-08-03 13:00:00,10.3
155,2017-08-03 14:00:00,10.4
156,2017-08-03 15:00:00,10.3
157,2017-08-03 16:00:00,10.7
158,2017-08-03 17:00:00,11.4
159,2017-08-03 18:00:00,12.9
160,2017-08-03 19:00:00,13.9
161,2017-08-03 20:00:00,14.0
162,2017-08-03 21:00:00,15.2
163,2017-08-03 22:00:00,15.6
164,2017-08-03 23:00:00,15.5
165,2017-08-04 00:00:00,16.5
166,2017-08-04 01:00:00,16.1
167,2017-08-04 02:00:00,15.2
168,2017-08-04 03:00:00,15.1
