U,V,Date
0.7886330153554173,-1.6884671667713498,2011-04-01 00:00:00
0.721646545945924,-1.749296978763398,2011-04-01 01:00:00
0.5201046466791012,-2.184502137730898,2011-04-01 02:00:00
0.4001114927803568,-2.8486845564733443,2011-04-01 03:00:00
0.5999059189321495,-3.5183070397028846,2011-04-01 04:00:00
0.9959998250056745,-4.1864458689814,2011-04-01 05:00:00
1.459662691527036,-4.428776014315575,2011-04-01 06:00:00
1.9844871170744565,-4.298214466625325,2011-04-01 07:00:00
2.606587546025228,-3.987636239543973,2011-04-01 08:00:00
3.2816946594652503,-3.582104159596984,2011-04-01 09:00:00
4.578319710817701,-3.4802265882932284,2011-04-01 10:00:00
5.309928454977036,-3.9060352722375664,2011-04-01 11:00:00
5.555739673157959,-4.664676992528641,2011-04-01 12:00:00
5.263329171909562,-5.376336337703906,2011-04-01 13:00:00
4.607444262734872,-6.057333501224642,2011-04-01 14:00:00
4.041262973465069,-6.475723915413852,2011-04-01 15:00:00
3.5362432432213247,-6.587987064374786,2011-04-01 16:00:00
3.2263580108226257,-6.188884151548908,2011-04-01 17:00:00
3.3743107345618544,-5.721038605658846,2011-04-01 18:00:00
3.6929333325357048,-5.370896273216811,2011-04-01 19:00:00
4.337750911981869,-5.47178474188655,2011-04-01 20:00:00
5.0373226490323155,-5.913419067975161,2011-04-01 21:00:00
6.8412973947818845,-5.872865859980463,2011-04-01 22:00:00
7.029442000166808,-5.844676434910976,2011-04-01 23:00:00
7.30729022545662,-5.600368084308766,2011-04-02 00:00:00
7.598535744628329,-5.4613991642293716,2011-04-02 01:00:00
7.657949830539358,-5.363972554778693,2011-04-02 02:00:00
7.618340439932005,-5.425791469404757,2011-04-02 03:00:00
7.532131766257179,-5.583058788213467,2011-04-02 04:00:00
7.7226063357954775,-5.569705902654238,2011-04-02 05:00:00
8.086663234760115,-5.285338895374338,2011-04-02 06:00:00
8.299272463755463,-5.104827664666226,2011-04-02 07:00:00
8.356356585513117,-5.125104268663575,2011-04-02 08:00:00
8.48799956017873,-5.005422849947513,2011-04-02 09:00:00
8.776915115197065,-5.08356195803486,2011-04-02 10:00:00
9.440954898908563,-4.92283278000709,2011-04-02 11:00:00
9.696668464741323,-5.225498186016306,2011-04-02 12:00:00
9.503281440011309,-5.921331889047297,2011-04-02 13:00:00
8.988359362115727,-6.305103711045911,2011-04-02 14:00:00
8.378491244970167,-6.2086662042292495,2011-04-02 15:00:00
7.760468253287799,-5.914902721926186,2011-04-02 16:00:00
7.229818917356945,-5.612731867233979,2011-04-02 17:00:00
6.804017968327905,-4.998993682826402,2011-04-02 18:00:00
6.324045352732928,-4.5880215383923195,2011-04-02 19:00:00
5.623308633605795,-4.313545557452589,2011-04-02 20:00:00
4.770541753471029,-4.193864138736527,2011-04-02 21:00:00
3.959131737058647,-4.095942977968839,2011-04-02 22:00:00
3.16577894283491,-3.177066630967004,2011-04-02 23:00:00
2.2815575466296005,-2.258190283965168,2011-04-03 00:00:00
0.8002828361222857,-1.790839289392114,2011-04-03 01:00:00
-0.9291330567193254,-1.301728036870685,2011-04-03 02:00:00
-2.5443807060456267,-0.13359782609655368,2011-04-03 03:00:00
-3.534615471229439,1.4187987579932,2011-04-03 04:00:00
-4.831823013620233,2.018689505524538,2011-04-03 05:00:00
-6.139515394701209,2.4360908170797315,2011-04-03 06:00:00
-8.140954602449197,1.9840709133339414,2011-04-03 07:00:00
-10.17909074561282,1.4405590159415746,2011-04-03 08:00:00
-11.51998511587937,1.3342304827847422,2011-04-03 09:00:00
-13.071158750987895,0.7793439051011797,2011-04-03 10:00:00
-14.858823747663848,-0.15337987877689463,2011-04-03 11:00:00
-15.985943906858363,-1.1093475745543695,2011-04-03 12:00:00
-16.468246486606716,-2.136036108664063,2011-04-03 13:00:00
-16.975596181003834,-3.092003804441538,2011-04-03 14:00:00
-17.31111101908964,-3.734425965235609,2011-04-03 15:00:00
-16.957538958815185,-5.0405359934551175,2011-04-03 16:00:00
-16.57658981973859,-6.898070740139131,2011-04-03 17:00:00
-16.34301091336288,-8.409914116234185,2011-04-03 18:00:00
-14.608935092214521,-10.327784123593236,2011-04-03 19:00:00
-12.781660704931216,-12.187297075545283,2011-04-03 20:00:00
-10.673625637166383,-13.310423116471638,2011-04-03 21:00:00
-9.539515585511745,-15.435510125657261,2011-04-03 22:00:00
-8.140954602449197,-16.02649894948245,2011-04-03 23:00:00
-6.1715524018100965,-16.35982653714619,2011-04-04 00:00:00
-3.9522615457216705,-16.425107310991315,2011-04-04 01:00:00
-1.2815401349170938,-16.52797398492909,2011-04-04 02:00:00
1.32743722582308,-16.194646397265345,2011-04-04 03:00:00
4.040680482426725,-15.691193156550668,2011-04-04 04:00:00
5.552244726927897,-15.988913049389797,2011-04-04 05:00:00
6.43005872171143,-15.531947632473923,2011-04-04 06:00:00
7.01429723316988,-14.594278335425763,2011-04-04 07:00:00
6.386954384874017,-13.791621547920931,2011-04-04 08:00:00
5.623891124644138,-12.696190380747053,2011-04-04 09:00:00
5.95299856130817,-11.642796075518898,2011-04-04 10:00:00
4.986063437658094,-10.462302081819555,2011-04-04 11:00:00
4.581232166009419,-9.257080522269785,2011-04-04 12:00:00
4.210767865623004,-8.446510913692816,2011-04-04 13:00:00
3.6241993900111815,-8.057793578524116,2011-04-04 14:00:00
2.37184365757283,-7.849587474063528,2011-04-04 15:00:00
0.2783708657665822,-7.639403164334906,2011-04-04 16:00:00
-1.964219631855581,-7.341188720178767,2011-04-04 17:00:00
-4.132251276569787,-7.059294469483909,2011-04-04 18:00:00
